AGS,Stadtteil_Nr,Stadtteil,Stichtag,Quelle,Wohnbev_insg,Deutsch,Nichtdeutsch,AGS_dup,Stadtteil_Nr_dup,Quelle_dup,Fam_Stand_ledig (ab 18J),Fam_Stand_Verheiratet_Lebenspartnerschaft (ab 18J),Fam_Stand_Verwitwet_LP-gestorben (ab 18J),Fam_Stand_Geschieden_LP aufgehoben (ab 18J),Fam_Stand_unbekannt (ab 18J),GEMEINDE,STT,STADTVIERTEL,EINW_HW_GESAMT,EINW_HW_FRAUEN,EINW_HW_DEUTSCH,EINW_HW_NICHTDEUTSCH,EINW_HW_unter18,EINW_HW_18_bis_unter_30,EINW_HW_30_bis_unter_40,EINW_HW_40_bis_unter_50,EINW_HW_50_bis_unter_60,EINW_HW_60_und_aelter,Haushalte,Wohnbevoelkerung insg.,Religion - katholisch,Religion - evangelisch,Religion - sonstige,Lebendgeburten,Geburten je 1000 Einw.,Sterbefaelle,Sterbefaelle je 1000 Einw.,natuerliche Bevoelkerungssaldo,Kaufkraft-Index (pro Einwohner)
8335043.0,120.0,Dingelsdorf,2012,Stadt Konstanz - Eigene Einwohnerfortschreibung,2121.0,1997.0,124.0,8335043.0,120.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,548.0,1009.0,100.0,123.0,0.0,Konstanz,"""120""","""1201""",1787.0,911.0,1693.0,94.0,287.0,318.0,156.0,279.0,289.0,458.0,935.0,2121.0,977.0,480.0,664.0,21.0,"9,90",10.0,"4,71",11.0,"119,2387932"
8335043.0,120.0,Dingelsdorf,2013,Stadt Konstanz - Eigene Einwohnerfortschreibung,2138.0,2005.0,133.0,8335043.0,120.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,578.0,1004.0,105.0,123.0,0.0,Konstanz,"""120""","""1201""",1799.0,929.0,1700.0,99.0,284.0,328.0,149.0,265.0,304.0,469.0,895.0,2138.0,986.0,469.0,683.0,12.0,"5,61",12.0,"5,61",0.0,"128,1696906"
8335043.0,120.0,Dingelsdorf,2014,Stadt Konstanz - Eigene Einwohnerfortschreibung,2122.0,1976.0,146.0,8335043.0,120.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,554.0,1003.0,108.0,121.0,0.0,Konstanz,"""120""","""1201""",1792.0,925.0,1680.0,112.0,292.0,298.0,161.0,256.0,313.0,472.0,894.0,2122.0,958.0,444.0,720.0,17.0,"8,01",15.0,"7,07",2.0,"123,8220211"
8335043.0,120.0,Dingelsdorf,2015,Stadt Konstanz - Eigene Einwohnerfortschreibung,2142.0,1970.0,172.0,8335043.0,120.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,547.0,1030.0,100.0,120.0,0.0,Konstanz,"""120""","""1201""",1808.0,930.0,1686.0,122.0,301.0,303.0,174.0,232.0,318.0,480.0,901.0,2142.0,948.0,449.0,745.0,13.0,"6,07",17.0,"7,94",-4.0,"123,4801123"
8335043.0,120.0,Dingelsdorf,2016,Stadt Konstanz - Eigene Einwohnerfortschreibung,2137.0,1954.0,183.0,8335043.0,120.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,561.0,1007.0,105.0,127.0,0.0,Konstanz,"""120""","""1201""",1805.0,918.0,1675.0,130.0,289.0,318.0,153.0,218.0,335.0,492.0,907.0,2137.0,942.0,436.0,759.0,11.0,"5,15",11.0,"5,15",0.0,"122,1891316"
8335043.0,120.0,Dingelsdorf,2017,Stadt Konstanz - Eigene Einwohnerfortschreibung,2131.0,1918.0,213.0,8335043.0,120.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,564.0,997.0,107.0,135.0,0.0,Konstanz,"""120""","""1201""",1797.0,915.0,1649.0,148.0,281.0,307.0,157.0,207.0,333.0,512.0,919.0,2131.0,928.0,435.0,768.0,10.0,"4,69",11.0,"5,16",-1.0,"122,912984"
8335043.0,120.0,Dingelsdorf,2018,Stadt Konstanz - Eigene Einwohnerfortschreibung,2094.0,1896.0,198.0,8335043.0,120.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,547.0,987.0,105.0,132.0,1.0,Konstanz,"""120""","""1201""",1756.0,896.0,1624.0,132.0,270.0,290.0,159.0,186.0,331.0,520.0,892.0,2094.0,885.0,428.0,781.0,22.0,"10,51",16.0,"7,64",6.0,"125,6718206"
8335043.0,120.0,Dingelsdorf,2019,Stadt Konstanz - Eigene Einwohnerfortschreibung,2098.0,1897.0,201.0,8335043.0,120.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,541.0,1003.0,103.0,125.0,3.0,Konstanz,"""120""","""1201""",1758.0,895.0,1618.0,140.0,273.0,277.0,176.0,181.0,314.0,537.0,894.0,2098.0,859.0,418.0,821.0,17.0,"8,10",20.0,"9,53",-3.0,"124,9464976"
8335043.0,120.0,Dingelsdorf,2020,Stadt Konstanz - Eigene Einwohnerfortschreibung,2082.0,1897.0,185.0,8335043.0,120.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,536.0,987.0,108.0,124.0,2.0,Konstanz,"""120""","""1201""",1773.0,911.0,1629.0,144.0,281.0,251.0,205.0,170.0,310.0,556.0,903.0,2082.0,845.0,411.0,826.0,18.0,"8,65",13.0,"6,24",5.0,"115,6477832"
8335043.0,120.0,Dingelsdorf,2021,Stadt Konstanz - Eigene Einwohnerfortschreibung,2056.0,1883.0,173.0,8335043.0,120.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,508.0,989.0,110.0,131.0,6.0,Konstanz,"""120""","""1201""",1750.0,892.0,1615.0,135.0,272.0,221.0,219.0,161.0,303.0,574.0,897.0,2056.0,834.0,385.0,837.0,18.0,"8,75",15.0,"7,30",3.0,"104,8121809"
8335043.0,120.0,Dingelsdorf,2022,Stadt Konstanz - Eigene Einwohnerfortschreibung,2075.0,1892.0,183.0,8335043.0,120.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,516.0,981.0,116.0,132.0,14.0,Konstanz,"""120""","""1201""",1770.0,889.0,1626.0,144.0,282.0,226.0,214.0,163.0,292.0,593.0,906.0,2075.0,811.0,369.0,895.0,12.0,"5,78",18.0,"8,67",-6.0,"121,327194"
8335043.0,100.0,Egg,2011,Stadt Konstanz - Eigene Einwohnerfortschreibung,699.0,676.0,23.0,8335043.0,100.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,192.0,304.0,23.0,36.0,0.0,Konstanz,"""100""","""1001""",699.0,336.0,676.0,23.0,144.0,136.0,78.0,133.0,94.0,114.0,319.0,699.0,280.0,198.0,221.0,4.0,"5,72",0.0,"0,00",4.0,"87,94910828"
8335043.0,100.0,Egg,2012,Stadt Konstanz - Eigene Einwohnerfortschreibung,731.0,707.0,24.0,8335043.0,100.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,194.0,332.0,22.0,34.0,0.0,Konstanz,"""100""","""1001""",731.0,353.0,707.0,24.0,149.0,135.0,86.0,133.0,106.0,122.0,333.0,731.0,289.0,203.0,239.0,5.0,"6,84",3.0,"4,10",2.0,"87,94910828"
8335043.0,100.0,Egg,2013,Stadt Konstanz - Eigene Einwohnerfortschreibung,736.0,706.0,30.0,8335043.0,100.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,184.0,341.0,21.0,34.0,0.0,Konstanz,"""100""","""1001""",736.0,358.0,706.0,30.0,156.0,127.0,80.0,133.0,115.0,125.0,327.0,736.0,283.0,187.0,266.0,10.0,"13,59",2.0,"2,72",8.0,"96,75677426"
