AGS;Stadtteil_Nr;Stadtteil_Name;Jahr;Quelle;Lebendgeburten ;Geburten je 1000 Einw.;Sterbefaelle;Sterbefaelle je 1000 Einw.;natuerliche Bevoelkerungssaldo
08335043;070;Fuerstenberg;2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;80;6,85;102;8,73;-22
08335043;080;Wollmatingen;2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;69;10,52;72;10,97;-3
08335043;090;Industriegebiet;2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;5;5,21;3;3,13;2
08335043;100;Egg;2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;10;13,59;2;2,72;8
08335043;110;Litzelstetten;2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;23;5,93;28;7,22;-5
08335043;120;Dingelsdorf;2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;12;5,61;12;5,61;0
08335043;130;Dettingen;2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;16;5,25;23;7,55;-7
08335043;140;Wallhausen;2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;7;6,23;10;8,90;-3
08335043;010;Altstadt;2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;114;9,58;150;12,61;-36
08335043;020;Paradies;2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;47;8,09;53;9,12;-6
08335043;030;Petershausen-West;2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;112;7,89;75;5,28;37
08335043;035;Petershausen-Ost;2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;52;7,54;131;19,01;-79
08335043;040;Koenigsbau;2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;35;6,28;30;5,39;5
08335043;050;Allmannsdorf;2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;31;5,93;31;5,93;0
08335043;060;Staad;2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;12;6,81;12;6,81;0
08335043;070;Fuerstenberg;2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;106;9,09;98;8,40;8
08335043;080;Wollmatingen;2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;56;8,81;64;10,07;-8
08335043;090;Industriegebiet;2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;13;14,21;6;6,56;7
08335043;100;Egg;2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;5;6,84;3;4,10;2
08335043;110;Litzelstetten;2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;20;5,25;28;7,35;-8
08335043;120;Dingelsdorf;2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;21;9,90;10;4,71;11
08335043;130;Dettingen;2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;30;9,80;25;8,17;5
08335043;140;Wallhausen;2012;Stadt Konstanz - Eigene Einwohnerfortschreibung;9;8,01;8;7,12;1
08335043;010;Altstadt;2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;113;9,52;116;9,78;-3
08335043;020;Paradies;2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;45;7,75;53;9,13;-8
08335043;030;Petershausen-West;2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;118;8,78;74;5,51;44
08335043;035;Petershausen-Ost;2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;48;7,03;128;18,75;-80
08335043;040;Koenigsbau;2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;35;6,32;37;6,68;-2
08335043;050;Allmannsdorf;2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;26;4,93;38;7,21;-12
08335043;060;Staad;2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;11;6,43;22;12,87;-11
08335043;070;Fuerstenberg;2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;100;8,56;80;6,85;20
08335043;080;Wollmatingen;2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;55;8,83;52;8,34;3
08335043;090;Industriegebiet;2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;4;4,29;2;2,14;2
08335043;100;Egg;2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;4;5,72;0;0,00;4
08335043;110;Litzelstetten;2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;24;6,30;32;8,40;-8
08335043;120;Dingelsdorf;2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;14;6,66;19;9,03;-5
08335043;130;Dettingen;2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;21;6,87;25;8,18;-4
08335043;140;Wallhausen;2011;Stadt Konstanz - Eigene Einwohnerfortschreibung;4;3,54;4;3,54;0
