AGS;Stadtteil_Nr;Stadtteil;Stichtag;Quelle;Fam_Stand_ledig (ab 18J);Fam_Stand_Verheiratet_Lebenspartnerschaft (ab 18J);Fam_Stand_Verwitwet_LP-gestorben (ab 18J);Fam_Stand_Geschieden_LP aufgehoben (ab 18J);Fam_Stand_unbekannt (ab 18J)
8335043;40;Koenigsbau;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;2596;1919;253;412;0
8335043;50;Allmannsdorf;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;1749;2111;328;386;0
8335043;60;Staad;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;487;786;135;143;0
8335043;70;Fuerstenberg;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;4585;4350;702;993;2
8335043;80;Wollmatingen;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;2029;2689;319;491;8
8335043;90;Industriegebiet;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;374;402;34;99;9
8335043;100;Egg;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;217;352;16;30;0
8335043;110;Litzelstetten;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;1065;1724;231;313;1
8335043;120;Dingelsdorf;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;561;1007;105;127;0
8335043;130;Dettingen;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;748;1609;190;191;2
8335043;140;Wallhausen;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;353;484;72;86;1
8335043;10;Altstadt;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;5278;3611;587;970;1
8335043;20;Paradies;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;2798;1800;382;446;1
8335043;30;Petershausen-West;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;6794;4698;658;1222;10
8335043;35;Petershausen-Ost;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;2220;2736;663;517;0
8335043;40;Koenigsbau;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;2520;1808;252;402;1
8335043;50;Allmannsdorf;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;1760;2096;334;384;0
8335043;60;Staad;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;478;796;133;143;0
8335043;70;Fuerstenberg;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;4432;4291;694;990;0
8335043;80;Wollmatingen;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;1838;2679;315;483;0
8335043;90;Industriegebiet;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;353;394;32;102;0
8335043;100;Egg;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;188;353;18;30;0
8335043;110;Litzelstetten;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;1048;1745;233;303;0
8335043;120;Dingelsdorf;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;547;1030;100;120;0
8335043;130;Dettingen;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;711;1545;191;170;0
8335043;140;Wallhausen;31.12.2015;Stadt Konstanz - Eigene Einwohnerfortschreibung;352;500;74;88;0
8335043;10;Altstadt;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;5305;3564;596;963;0
8335043;20;Paradies;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;2745;1783;387;436;0
8335043;30;Petershausen-West;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;6492;4584;664;1218;1
8335043;35;Petershausen-Ost;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;2172;2738;651;517;0
8335043;40;Koenigsbau;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;2478;1809;248;390;0
8335043;50;Allmannsdorf;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;1769;2072;339;377;0
8335043;60;Staad;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;503;800;130;141;0
8335043;70;Fuerstenberg;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;4193;4251;712;994;0
8335043;80;Wollmatingen;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;1777;2686;317;475;0
8335043;90;Industriegebiet;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;314;383;30;88;0
8335043;100;Egg;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;188;353;20;35;0
8335043;110;Litzelstetten;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;1039;1772;231;305;0
8335043;120;Dingelsdorf;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;554;1003;108;121;0
8335043;130;Dettingen;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;716;1532;195;164;0
8335043;140;Wallhausen;31.12.2014;Stadt Konstanz - Eigene Einwohnerfortschreibung;357;496;75;81;0
8335043;10;Altstadt;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;5329;3536;600;953;0
8335043;20;Paradies;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;2698;1795;390;434;1
8335043;30;Petershausen-West;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;6447;4545;690;1203;0
8335043;35;Petershausen-Ost;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;2082;2709;664;530;0
8335043;40;Koenigsbau;31.12.2013;Stadt Konstanz - Eigene Einwohnerfortschreibung;2299;1836;263;399;0
